Name,UG Intake,PG Intake,N_T,Faculty,Full Time,Part Time,UG Enrolled,PG Enrolled
Indian Institute of Technology Madras,3813,1573,5386,642,2112,39,3935,1914
Indian Institute of Technology Delhi,3772,2214,5986,667,2349,570,3988,2177
Indian Institute of Technology Bombay,3744,1543,5287,592,1879,308,4179,1738
Indian Institute of Technology Kanpur,3471,1895,5366,481,1742,26,3507,1759
Indian Institute of Technology Kharagpur,2773,5946,8719,794,2963,0,2519,6160
Indian Institute of Technology Roorkee,3498,1965,5463,523,1880,234,3455,1852
Indian Institute of Technology Guwahati,2948,1422,4370,402,1838,164,2926,1331
Indian Institute of Technology Hyderabad,1127,487,1614,242,494,123,1143,433
National Institute of Technology Tiruchirappalli,3268,1164,4432,368,649,412,3671,976
National Institute of Technology Karnataka,2960,1158,4118,440,622,177,3365,1108
Indian Institute of Technology (Indian School of Mines),3890,1645,5535,354,602,562,3739,912
Vellore Institute of Technology,27966,7338,35304,2031,1022,1041,25554,6316
Indian Institute of Technology Indore,1089,356,1445,171,485,15,1054,124
Indian Institute of Technology (Banaras Hindu University) Varanasi,4968,977,5945,343,1044,4,4686,823
Institute of Chemical Technology,844,784,1628,142,316,73,871,709
Amrita Vishwa Vidyapeetham,8940,1820,10760,752,265,358,9349,757
Jadavpur University,5520,1470,6990,323,1175,0,4908,1345
Anna University,10690,3408,14098,982,846,765,10558,2617
Indian Institute of Technology Ropar,1032,484,1516,176,538,36,995,468
National Institute of Technology Rourkela,3099,2940,6039,388,1183,111,3296,2167
Indian Institute of Technology Patna,1036,357,1393,127,432,52,992,202
Indian Institute of Technology Gandhinagar,747,350,1097,103,436,4,757,306
National Institute of Technology Warangal,3421,1238,4659,403,500,121,3794,1101
Thapar Institute of Engineering and Technology,7235,780,8015,523,554,177,7183,352
National Institute of Technology Calicut,3748,913,4661,340,613,101,3924,818
Birla Institute of Technology & Science -Pilani,10241,1286,11527,585,361,147,10139,1285
Indian Institute of Engineering Science and Technology,2424,808,3232,250,809,0,2471,535
Indian Institute of Technology Bhubaneswar,1349,418,1767,150,161,0,1347,334
National Institute of Technology Durgapur,2935,646,3581,237,354,282,2855,509
Visvesvaraya National Institute of Technology,3347,810,4157,268,440,44,3361,581
Amity University,7680,960,8640,585,253,592,6812,722
Siksha `O` Anusandhan,7320,180,7500,596,576,135,7193,205
Jamia Millia Islamia,1400,283,1683,128,317,0,1586,308
S.R.M. Institute of Science and Technology,21455,1675,23130,1486,974,155,20015,702
Aligarh Muslim University,1500,577,2077,222,274,10,1634,584
Delhi Technological University,8642,836,9478,730,526,547,8255,614
Malaviya National Institute of Technology,3078,1825,4903,490,475,296,2850,1117
Shanmugha Arts Science Technology & Research Academy,7480,676,8156,583,389,157,7346,553
Kalinga Institute of Industrial Technology,13800,424,14224,1004,811,0,14352,215
Indian Institute of Space Science and Technology,594,300,894,108,160,50,575,163
Indian Institute of Technology Mandi,782,1112,1894,136,258,21,753,924
Motilal Nehru National Institute of Technology,3758,1003,4761,283,420,117,3702,741
Indian Institute of Technology Jodhpur,899,411,1310,146,289,3,847,431
National Institute of Technology Kurukshetra,3491,981,4472,241,223,255,3467,759
Sri Sivasubramaniya Nadar College of Engineering,3420,396,3816,253,261,280,3964,138
Birla Institute of Technology,3090,682,3772,277,236,38,2706,229
Sardar Vallabhbhai National Institute of Technology,3390,891,4281,314,415,316,3224,750
National Institute of Technology Silchar,2749,578,3327,200,495,134,2698,404
Dr. B. R. Ambedkar National Institute of Technology,3512,624,4136,308,339,108,3239,490
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),13580,912,14492,1028,176,719,13496,755
Manipal Institute of Technology,7340,1202,8542,711,124,2,8162,1026
"College of Engineering, Pune",2280,888,3168,259,61,176,2922,802
PSG College of Technology,5460,957,6417,477,147,259,5821,638
International Institute of Information Technology Hyderabad,1461,330,1791,103,117,57,1247,277
Sathyabama Institute of Science and Technology,11268,462,11730,819,295,737,9186,128
Kalasalingam Academy of Research and Education,5310,384,5694,352,233,47,4221,63
Visvesvaraya Technological University,0,1670,1670,145,36,217,0,1433
Defence Institute of Advanced Technology,0,796,796,83,60,85,0,439
National Institute of Technology Meghalaya,600,200,800,90,108,60,588,115
Maulana Azad National Institute of Technology,3381,1046,4427,370,220,90,3473,710
Chandigarh University,12960,342,13302,907,188,156,12987,319
Jawaharlal Nehru Technological University,4976,1540,6516,447,128,2120,4646,1378
"Indraprastha Institute of Information Technology, Delhi",1583,458,2041,106,185,0,1525,412
National Institute of Technology Raipur,3714,400,4114,250,325,198,3384,277
M. S. Ramaiah Institute of Technology,4320,528,4848,370,35,263,4296,485
Lovely Professional University,17340,440,17780,1156,341,975,17230,419
Banasthali Vidyapith,3300,324,3624,214,241,0,3370,105
Pandit Deendayal Petroleum University,3060,360,3420,280,59,71,3182,309
National Institute of Technology Srinagar,2398,326,2724,183,187,25,2214,250
"Punjab Engineering College (Deemed to be University), Chandigarh",2820,556,3376,192,165,84,2664,409
Thiagarajar College of Engineering,3120,405,3525,311,99,154,3435,263
National Institute of Technology Patna,2239,639,2878,162,274,374,2171,440
Indian Institute of Information Technology Guwahati,573,120,693,48,31,27,544,48
College of Engineering (A),1834,1020,2854,183,103,248,1902,965
Graphic Era University,3570,180,3750,258,38,37,3578,134
International Institute of Information Technology Bangalore,0,930,930,63,42,37,0,848
R.V. College of Engineering,4240,720,4960,354,27,314,4750,610
Sri Krishna College of Engineering and Technology,4440,156,4596,353,11,156,4607,124
Shri Mata Vaishno Devi University,1095,144,1239,100,119,0,765,108
"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM) Jabalpur",1229,235,1464,70,149,1,1115,124
Indian Institute of Food Processing Technology (IIFPT),255,76,331,46,51,0,230,66
"Veermata Jijabai Technological Institute,  (VJTI, Mumbai)",2160,784,2944,225,135,101,2710,685
PES University,5520,288,5808,395,32,48,5535,256
Manipal University Jaipur,5064,50,5114,358,46,166,4406,20
National Institute of Technology Goa,560,120,680,47,71,18,461,92
"National Institute of Technology, Jamshedpur",2526,692,3218,163,180,96,2445,464
Indian Institute of Information Technology Allahabad,1388,406,1794,79,207,14,1366,319
Netaji Subhas University of Technology (NSUT),4148,357,4505,201,204,0,4089,220
Panjab University,3694,816,4510,199,185,0,2988,288
Kumaraguru College of Technology,4920,648,5568,388,20,114,5093,378
University of Petroleum and Energy Studies,6915,330,7245,484,23,250,6132,295
National Institute of Technology Agartala,3233,747,3980,215,134,71,2782,398
Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,8760,708,9468,698,33,288,7855,223
Jaypee Institute of Information Technology,4560,990,5550,283,151,82,4017,358
College of Engineering Trivandrum,2523,828,3351,273,89,54,2676,789
Bharati Vidyapeeth Deemed University College of Engineering,3150,288,3438,232,158,2,3029,282
The Northcap University,1690,72,1762,125,46,41,1566,27
B.M.S. College of Engineering,5220,492,5712,343,73,250,4973,399
National Institute of Technology Hamirpur,2369,1190,3559,196,192,26,2274,978
"C.V. Raman Global University, Odisha",4500,413,4913,396,12,42,3809,366
Siddaganga Institute of Technology,3480,450,3930,282,35,113,3309,185
Coimbatore Institute of Technology,2840,342,3182,248,62,107,2965,143
Shoolini University of Biotechnology and Management Sciences,960,65,1025,77,65,0,860,59
Tezpur University,1208,449,1657,94,139,41,1254,558
Karunya Institute of Technology and Sciences,6008,530,6538,387,57,284,4820,209
Atal Bihari Vajpayee Indian Institute of Information Technology and Management,181,727,908,34,44,0,178,616
Dhirubhai Ambani Institute of Information and Communication Technology,1350,454,1804,105,50,7,1314,408
Guru Gobind Singh Indraprastha University,720,338,1058,41,33,114,755,241
Sri Sairam Engineering College,4860,252,5112,391,36,118,4424,152
Rajalakshmi Engineering College,7020,240,7260,481,61,153,6796,224
"Vignan's Foundation for Science, Technology and Research",7290,396,7686,490,144,439,6252,323
B. S. Abdur Rahman Crescent Institute of Science and Technology,3720,252,3972,325,30,235,3047,104
Chitkara University,5370,153,5523,423,99,134,5172,73
National Institute of Technology Manipur,720,150,870,74,100,52,576,94
National Institute of Foundry and Forge Technology (NIFFT),499,232,731,51,13,20,398,142
Veer Surendra Sai University of Technology,4032,828,4860,272,392,76,3692,648
Maharaja Sayajirao University of Baroda,3000,830,3830,250,191,0,2977,1183
Manav Rachna International Institute of Research & Studies,2325,162,2487,167,44,99,1907,53
Shri Ramdeobaba College of Engineering and Management,3240,252,3492,247,6,29,3528,136
Punjab Technical University,1140,118,1258,79,0,554,679,23
Saveetha Institute of Medical and Technical Sciences,5280,60,5340,381,43,232,5001,60
Vishwakarma Institute of Technology,3980,287,4267,279,62,0,4826,188
University College of Engingeering,1641,731,2372,177,23,982,1565,643
Mepco Schlenk Engineering College,3834,340,4174,231,34,159,3505,133
"Vels Institute of Science, Technology & Advanced Studies (VISTAS)",2240,168,2408,254,19,185,1970,92
Dayalbagh Educational Institute,1200,86,1286,132,145,35,1082,100
YMCA University of Science & Tech (Formerely YMCA Institute of Engineering),1980,306,2286,188,32,124,2362,185
Government College of Technology,2840,396,3236,202,47,78,2760,344
Jaypee University of Information Technology,2160,111,2271,105,87,51,1643,30
G. H. Raisoni College of Engineering,3600,372,3972,280,0,61,3631,172
PSG Institute of Technology and Applied Research,1200,0,1200,99,0,0,1270,0
University College of Engineering,1280,638,1918,139,276,723,1359,668
Chaitanya Bharathi Institute of Technology,4140,352,4492,312,0,0,4426,198
SR University,2880,252,3132,215,0,28,2877,226
Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology,4560,468,5028,358,10,0,4950,294
The Rashtrasant Tukadoji Maharaj Nagpur University,600,120,720,40,27,0,645,53
Sri Krishna College of Technology,3840,216,4056,314,4,103,3533,58
NMAM Institute of Technology,3720,436,4156,297,8,62,4198,156
P E S College of Engineering,2780,204,2984,236,2,135,2817,97
Army Institute of Technology,1260,36,1296,83,0,0,1302,12
New Horizon College of Engineering,4320,450,4770,375,5,51,5053,385
Vardhaman College of Engineering,3600,216,3816,323,2,0,3792,103
Bharatiya Vidya Bhavan`s Sardar Patel Institute of Technology,960,72,1032,67,55,0,1085,42
Pondicherry Engineering College,2400,482,2882,172,188,216,2258,202
National Institute of Technology Puducherry,840,70,910,58,55,33,821,56
Anurag University,4920,246,5166,400,2,0,5316,206
Chandigarh Engineering College,5280,144,5424,383,0,92,5489,122
"National Institute of Food Technology, Entrepreneurship & Management",709,170,879,51,74,8,601,160
Yeshwantrao Chavan College of Engineering,4080,266,4346,303,1,80,4503,93
Dr. Vishwanath Karad MIT World Peace University,5250,510,5760,412,124,0,5664,285
SVKM`s Narsee Monjee Institute of Management Studies,1660,1630,3290,230,90,0,1528,1586
BMS Institute of Technology & Management,2700,72,2772,161,2,56,3035,35
Nirma University,3466,569,4035,263,16,90,4035,575
"Amity University, Gwalior",665,15,680,72,21,51,572,1
CVR College Of Engineering,4800,324,5124,433,2,0,4781,198
"Government Engineering College, Thrissur",2050,360,2410,217,55,56,2267,367
"Jain University, Bangalore",4510,564,5074,335,150,15,3717,209
Maulana Abul Kalam Azad University of Technology,324,497,821,45,19,22,292,194
Institute of Aeronautical Engineering,4200,168,4368,318,0,0,4252,108
National Institute of Technology Arunachal Pradesh,800,180,980,75,42,32,560,65
Indira Gandhi Delhi Technical University for Women,1600,239,1839,132,63,48,1490,121
Sant Longowal Institute of Engineering & Technology,2280,301,2581,174,120,54,2200,135
"Silicon Institute of Technology (SIT), Bhubaneswar",2160,108,2268,146,0,0,2150,3
Kongu Engineering College,6720,618,7338,510,17,197,6596,176
Goka Raju Ranga Raju Institute of Engineering & Technology,4740,348,5088,355,0,0,5151,224
Annamalai University,3870,740,4610,307,131,791,2203,222
Rajiv Gandhi Institute of Petroleum Technology,492,144,636,36,49,31,411,17
Nitte Meenakshi Institute of Technology,4320,246,4566,288,17,54,4209,125
Institute of Engineering & Management,2880,108,2988,195,0,0,2912,80
R.M.K. Engineering College,3120,108,3228,287,4,99,3089,11
Noida Institute of Engineering & Technology,5220,261,5481,385,0,0,4482,93
Hindustan Institute of Technology and Science (HITS),5950,318,6268,414,71,268,4624,101
Dr. D. Y. Patil Institute of Technology,3360,264,3624,236,55,0,3427,172
Guru Nanak Dev University,2060,120,2180,69,21,13,1681,70
Sri Ramakrishna Engineering College,4080,276,4356,321,14,65,4131,31
KIET Group of Institutions,4560,135,4695,316,5,16,4642,8
Galgotias University,5524,82,5606,378,33,134,4753,82
Velagapudi Ramakrishna Siddhartha Engineering College,4560,342,4902,354,0,63,4929,229
Sharda University,2837,331,3168,188,52,11,2258,209
KLE Technological University,4900,300,5200,341,4,122,5052,187
Shri G. S. Institute of Technology & Science,2850,856,3706,234,85,27,3087,359
North Eastern Regional Institute of Science & Technology,1443,400,1843,121,97,62,897,219
St. Josephs College of Engineering,5280,252,5532,298,11,70,5161,53
Lakshmi Narain College of Technology,4560,360,4920,339,0,0,4195,296
Centurion  University  of Technology and Management,2245,0,2245,158,6,93,2191,0
Rabindranath Tagore University,1230,324,1554,104,206,0,1134,319
National Institute of Technology Uttarakhand,850,170,1020,83,45,47,594,87
JSS Science and Technology University,3910,662,4572,262,40,279,3786,411
Easwari Engineering College,4140,180,4320,259,9,99,3468,50
International Institute of Information Technology Bhubaneswar,1200,50,1250,47,8,3,1236,13
National Engineering College,2520,176,2696,198,15,50,2534,55
Sona College of Technology,4230,450,4680,299,47,209,3934,198
C M R Institute of Technology,3840,96,3936,272,7,69,3724,17
G.L.Bajaj Institute of Technology and Management,4140,0,4140,326,0,0,3822,0
DIT University,3630,90,3720,201,57,66,3437,43
The National Institute of Engineering,3180,420,3600,257,13,115,3310,290
K. J. Somaiya College of Engineering,2400,216,2616,171,23,0,2779,85
Kakatiya Institute of Technology & Science,3660,290,3950,284,0,45,3891,217
Walchand College of Engineering,1560,480,2040,117,40,18,1912,382
Sri Venkateswara University,1963,432,2395,100,161,152,1658,329
