Name,F2019,F2018,F2017,P2019,P2018,P2017
Indian Institute of Technology Madras,264,265,189,3,4,6
Indian Institute of Technology Delhi,196,209,249,89,98,106
Indian Institute of Technology Bombay,205,204,222,66,41,71
Indian Institute of Technology Kanpur,232,200,186,4,3,0
Indian Institute of Technology Kharagpur,402,345,282,0,0,0
Indian Institute of Technology Roorkee,235,222,264,14,68,11
Indian Institute of Technology Guwahati,226,205,192,49,25,17
Indian Institute of Technology Hyderabad,46,36,27,6,2,1
National Institute of Technology Tiruchirappalli,117,74,63,43,24,18
National Institute of Technology Karnataka,114,99,101,19,17,23
Indian Institute of Technology (Indian School of Mines),68,96,126,45,52,58
Vellore Institute of Technology,146,159,133,153,123,44
Indian Institute of Technology Indore,77,80,51,1,1,2
Indian Institute of Technology (Banaras Hindu University) Varanasi,115,51,85,0,0,0
Institute of Chemical Technology,82,71,126,4,5,3
Amrita Vishwa Vidyapeetham,10,20,9,18,19,18
Jadavpur University,113,133,158,0,0,0
Anna University,79,103,102,95,66,105
Indian Institute of Technology Ropar,28,24,20,0,0,0
National Institute of Technology Rourkela,114,126,110,0,0,0
Indian Institute of Technology Patna,49,38,13,5,2,2
Indian Institute of Technology Gandhinagar,50,15,12,1,1,0
National Institute of Technology Warangal,81,69,49,10,12,15
Thapar Institute of Engineering and Technology,78,35,28,40,42,45
National Institute of Technology Calicut,75,95,88,14,6,7
Birla Institute of Technology & Science -Pilani,40,24,38,16,9,2
Indian Institute of Engineering Science and Technology,74,88,81,0,0,0
Indian Institute of Technology Bhubaneswar,20,15,5,0,0,0
National Institute of Technology Durgapur,57,42,27,43,49,42
Visvesvaraya National Institute of Technology,56,80,46,5,20,31
Amity University,26,26,13,57,44,21
Siksha `O` Anusandhan,65,58,67,7,3,0
Jamia Millia Islamia,37,44,37,0,0,0
S.R.M. Institute of Science and Technology,77,47,13,116,60,40
Aligarh Muslim University,35,33,19,2,0,1
Delhi Technological University,30,28,44,43,27,23
Malaviya National Institute of Technology,53,59,51,30,21,24
Shanmugha Arts Science Technology & Research Academy,59,29,28,18,12,29
Kalinga Institute of Industrial Technology,79,62,62,0,0,0
Indian Institute of Space Science and Technology,13,10,14,1,2,3
Indian Institute of Technology Mandi,38,19,28,0,2,0
Motilal Nehru National Institute of Technology,75,40,41,17,17,33
Indian Institute of Technology Jodhpur,32,23,16,2,2,3
National Institute of Technology Kurukshetra,20,21,12,25,50,46
Sri Sivasubramaniya Nadar College of Engineering,26,24,22,39,20,26
Birla Institute of Technology,18,48,18,12,22,4
Sardar Vallabhbhai National Institute of Technology,42,32,25,43,51,56
National Institute of Technology Silchar,37,54,27,11,18,14
Dr. B. R. Ambedkar National Institute of Technology,31,17,25,15,16,8
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),34,21,20,78,47,24
Manipal Institute of Technology,19,15,7,1,0,0
"College of Engineering, Pune",5,2,6,7,24,22
PSG College of Technology,8,9,9,34,59,43
International Institute of Information Technology Hyderabad,11,12,9,0,5,3
Sathyabama Institute of Science and Technology,26,31,29,108,81,56
Kalasalingam Academy of Research and Education,57,7,4,22,12,23
Visvesvaraya Technological University,2,0,0,50,47,81
Defence Institute of Advanced Technology,15,11,18,20,5,6
National Institute of Technology Meghalaya,6,6,5,1,3,1
Maulana Azad National Institute of Technology,24,13,38,27,19,17
Chandigarh University,16,12,4,26,14,8
Jawaharlal Nehru Technological University,20,16,5,303,262,354
"Indraprastha Institute of Information Technology, Delhi",9,13,14,0,0,0
National Institute of Technology Raipur,28,27,19,14,19,37
M. S. Ramaiah Institute of Technology,7,12,3,29,34,24
Lovely Professional University,11,17,0,24,19,1
Banasthali Vidyapith,65,62,54,0,0,0
Pandit Deendayal Petroleum University,12,6,2,24,6,6
National Institute of Technology Srinagar,19,26,17,2,3,3
"Punjab Engineering College (Deemed to be University), Chandigarh",14,13,12,7,24,22
Thiagarajar College of Engineering,21,13,5,40,17,38
National Institute of Technology Patna,26,15,5,6,15,5
Indian Institute of Information Technology Guwahati,1,0,0,0,0,0
College of Engineering (A),52,33,25,84,72,58
Graphic Era University,5,3,3,16,7,11
International Institute of Information Technology Bangalore,2,2,1,5,5,3
R.V. College of Engineering,2,2,1,34,10,7
Sri Krishna College of Engineering and Technology,4,1,0,38,34,5
Shri Mata Vaishno Devi University,32,10,1,0,0,0
"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM) Jabalpur",19,25,18,0,0,0
Indian Institute of Food Processing Technology (IIFPT),3,2,1,0,0,0
"Veermata Jijabai Technological Institute,  (VJTI, Mumbai)",9,14,4,7,19,9
PES University,1,1,0,1,0,0
Manipal University Jaipur,0,1,1,18,9,11
National Institute of Technology Goa,6,3,5,0,0,0
"National Institute of Technology, Jamshedpur",14,20,10,4,7,5
Indian Institute of Information Technology Allahabad,7,22,22,0,0,0
Netaji Subhas University of Technology (NSUT),11,19,19,0,0,0
Panjab University,18,12,25,0,0,0
Kumaraguru College of Technology,0,1,1,17,11,13
University of Petroleum and Energy Studies,0,1,1,25,12,20
National Institute of Technology Agartala,11,13,17,4,9,14
Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,1,1,0,31,18,14
Jaypee Institute of Information Technology,12,12,9,13,21,7
College of Engineering Trivandrum,1,11,9,9,3,8
Bharati Vidyapeeth Deemed University College of Engineering,12,14,7,0,0,0
The Northcap University,1,1,1,6,5,6
B.M.S. College of Engineering,6,5,2,15,23,23
National Institute of Technology Hamirpur,18,14,15,0,7,17
"C.V. Raman Global University, Odisha",0,0,0,0,0,0
Siddaganga Institute of Technology,1,4,3,11,12,18
Coimbatore Institute of Technology,4,5,1,17,22,29
Shoolini University of Biotechnology and Management Sciences,13,2,2,0,0,0
Tezpur University,7,9,6,13,9,7
Karunya Institute of Technology and Sciences,10,9,6,49,19,14
Atal Bihari Vajpayee Indian Institute of Information Technology and Management,8,10,7,0,0,0
Dhirubhai Ambani Institute of Information and Communication Technology,5,4,8,1,4,3
Guru Gobind Singh Indraprastha University,4,1,0,6,3,7
Sri Sairam Engineering College,15,9,2,31,22,5
Rajalakshmi Engineering College,16,12,2,37,23,8
"Vignan's Foundation for Science, Technology and Research",1,3,10,12,14,4
B. S. Abdur Rahman Crescent Institute of Science and Technology,3,2,0,9,7,3
Chitkara University,4,0,0,18,7,1
National Institute of Technology Manipur,12,6,8,3,2,2
National Institute of Foundry and Forge Technology (NIFFT),7,8,4,0,0,0
Veer Surendra Sai University of Technology,16,17,15,1,9,2
Maharaja Sayajirao University of Baroda,21,9,17,0,0,0
Manav Rachna International Institute of Research & Studies,7,3,1,9,9,9
Shri Ramdeobaba College of Engineering and Management,0,0,0,9,7,8
Punjab Technical University,0,0,0,87,74,22
Saveetha Institute of Medical and Technical Sciences,1,1,2,8,5,4
Vishwakarma Institute of Technology,5,2,8,0,0,0
University College of Engingeering,6,4,4,57,122,65
Mepco Schlenk Engineering College,0,12,4,22,17,22
"Vels Institute of Science, Technology & Advanced Studies (VISTAS)",4,1,2,30,13,9
Dayalbagh Educational Institute,4,10,6,4,3,1
YMCA University of Science & Tech (Formerely YMCA Institute of Engineering),7,5,0,13,14,13
Government College of Technology,6,5,7,9,18,12
Jaypee University of Information Technology,14,20,23,7,12,2
G. H. Raisoni College of Engineering,0,0,0,33,36,16
PSG Institute of Technology and Applied Research,0,0,0,0,0,0
University College of Engineering,5,8,5,23,16,20
Chaitanya Bharathi Institute of Technology,0,0,0,0,0,0
SR University,0,0,0,8,8,6
Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology,0,0,0,0,0,0
The Rashtrasant Tukadoji Maharaj Nagpur University,1,0,0,0,0,0
Sri Krishna College of Technology,1,0,1,6,10,4
NMAM Institute of Technology,0,1,3,4,0,10
P E S College of Engineering,2,0,0,21,27,13
Army Institute of Technology,0,0,0,0,0,0
New Horizon College of Engineering,3,3,3,14,3,3
Vardhaman College of Engineering,0,0,0,0,0,0
Bharatiya Vidya Bhavan`s Sardar Patel Institute of Technology,1,4,0,0,0,0
Pondicherry Engineering College,24,18,19,29,34,50
National Institute of Technology Puducherry,2,0,0,2,1,1
Anurag University,0,0,0,0,0,0
Chandigarh Engineering College,0,0,0,8,6,6
"National Institute of Food Technology, Entrepreneurship & Management",13,5,0,0,0,0
Yeshwantrao Chavan College of Engineering,0,0,0,25,16,21
Dr. Vishwanath Karad MIT World Peace University,2,1,1,0,0,0
SVKM`s Narsee Monjee Institute of Management Studies,9,5,5,0,0,0
BMS Institute of Technology & Management,0,0,0,3,1,0
Nirma University,1,0,2,10,20,11
"Amity University, Gwalior",2,0,2,6,2,0
CVR College Of Engineering,0,0,0,0,0,0
"Government Engineering College, Thrissur",7,3,4,4,2,0
"Jain University, Bangalore",50,40,33,0,0,0
Maulana Abul Kalam Azad University of Technology,9,13,11,8,0,0
Institute of Aeronautical Engineering,0,0,0,0,0,0
National Institute of Technology Arunachal Pradesh,8,1,0,4,2,7
Indira Gandhi Delhi Technical University for Women,5,1,0,4,3,1
Sant Longowal Institute of Engineering & Technology,8,8,7,27,7,13
"Silicon Institute of Technology (SIT), Bhubaneswar",0,0,0,0,0,0
Kongu Engineering College,1,3,0,15,17,25
Goka Raju Ranga Raju Institute of Engineering & Technology,0,0,0,0,0,0
Annamalai University,33,29,25,43,37,83
Rajiv Gandhi Institute of Petroleum Technology,4,4,3,0,0,0
Nitte Meenakshi Institute of Technology,3,5,10,5,9,9
Institute of Engineering & Management,0,0,0,0,0,0
R.M.K. Engineering College,0,0,1,14,14,6
Noida Institute of Engineering & Technology,0,0,0,0,0,0
Hindustan Institute of Technology and Science (HITS),3,9,5,24,30,18
Dr. D. Y. Patil Institute of Technology,18,7,2,0,0,0
Guru Nanak Dev University,0,4,2,0,1,1
Sri Ramakrishna Engineering College,2,2,3,12,14,9
KIET Group of Institutions,1,0,0,3,0,1
Galgotias University,1,3,3,1,2,0
Velagapudi Ramakrishna Siddhartha Engineering College,0,0,0,6,1,3
Sharda University,4,1,3,3,6,5
KLE Technological University,0,0,0,7,17,12
Shri G. S. Institute of Technology & Science,10,1,1,2,0,0
North Eastern Regional Institute of Science & Technology,6,5,5,5,4,7
St. Josephs College of Engineering,0,1,0,11,6,5
Lakshmi Narain College of Technology,0,0,0,0,0,0
Centurion  University  of Technology and Management,0,0,0,3,8,6
Rabindranath Tagore University,21,11,44,0,0,0
National Institute of Technology Uttarakhand,2,0,0,2,0,0
JSS Science and Technology University,7,6,10,38,34,27
Easwari Engineering College,0,0,1,11,9,3
International Institute of Information Technology Bhubaneswar,8,2,0,1,1,0
National Engineering College,0,1,1,15,22,23
Sona College of Technology,2,4,5,24,24,28
C M R Institute of Technology,0,0,0,5,2,1
G.L.Bajaj Institute of Technology and Management,0,0,0,0,0,0
DIT University,6,12,3,4,5,5
The National Institute of Engineering,0,1,0,9,9,10
K. J. Somaiya College of Engineering,3,0,0,0,0,0
Kakatiya Institute of Technology & Science,0,0,0,2,1,3
Walchand College of Engineering,3,0,0,7,5,1
Sri Venkateswara University,11,13,4,12,23,25
