Name,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GPH,GUE,MS,GPHD,RD,WD,ESCS,PCS,PR
Indian Institute of Technology Madras,18.5,30.0,17.88,29.09,34.43,37.0,15.0,10.0,28.5,15.0,21.1,17.32,21.43,13.57,7.43,20.0,100.0
Indian Institute of Technology Delhi,18.5,29.39,18.48,25.39,35.0,39.43,13.0,8.39,29.53,13.15,21.65,16.64,24.21,18.19,3.99,20.0,98.63
Indian Institute of Technology Bombay,18.5,30.0,19.48,21.33,33.66,36.18,15.0,7.72,29.96,13.85,19.51,16.39,18.53,12.56,4.59,18.0,92.88
Indian Institute of Technology Kanpur,18.25,26.27,17.01,25.18,29.32,31.18,15.0,7.63,36.55,15.0,22.0,16.24,18.95,8.73,8.28,20.0,87.05
Indian Institute of Technology Kharagpur,18.44,26.46,17.51,18.1,32.54,39.14,12.0,4.91,27.91,13.73,21.37,20.0,21.64,12.31,4.51,20.0,88.5
Indian Institute of Technology Roorkee,18.11,25.43,16.16,19.58,31.42,35.56,6.0,5.15,36.54,15.0,21.85,17.35,24.05,12.41,6.9,20.0,63.59
Indian Institute of Technology Guwahati,16.69,27.4,16.48,18.68,29.47,31.84,4.0,5.01,31.27,15.0,22.06,16.29,23.55,11.31,4.97,20.0,60.58
Indian Institute of Technology Hyderabad,10.32,30.0,16.78,25.5,22.26,22.09,7.0,5.55,30.94,15.0,20.57,6.03,16.5,14.46,5.61,20.0,66.7
National Institute of Technology Tiruchirappalli,16.0,20.82,13.74,19.44,23.21,24.5,3.0,3.91,35.46,15.0,17.3,10.37,16.59,17.96,6.8,20.0,69.32
National Institute of Technology Karnataka,16.0,24.29,14.89,17.98,23.44,22.97,1.0,2.76,35.31,15.0,16.64,11.67,16.76,18.2,9.58,20.0,50.18
Indian Institute of Technology (Indian School of Mines),15.34,21.92,14.98,17.05,28.25,30.94,2.5,3.84,30.29,14.51,17.14,11.17,19.46,7.07,8.09,20.0,35.36
Vellore Institute of Technology,18.54,20.02,13.2,9.65,27.24,35.19,7.0,0.27,25.57,13.92,13.67,13.84,19.06,20.66,0.12,20.0,49.73
Indian Institute of Technology Indore,9.11,29.61,16.65,20.84,24.56,25.64,2.0,3.68,26.8,14.93,20.62,9.22,17.15,11.44,7.18,20.0,30.29
Indian Institute of Technology (Banaras Hindu University) Varanasi,17.51,19.77,13.25,16.88,20.77,24.42,4.0,2.43,33.85,14.63,20.29,10.3,17.33,9.46,9.01,20.0,49.96
Institute of Chemical Technology,10.28,25.7,16.91,22.57,19.2,21.37,8.0,6.05,32.82,15.0,13.8,10.94,6.51,24.36,1.8,13.0,21.98
Amrita Vishwa Vidyapeetham,17.09,27.43,14.63,10.49,26.73,21.87,9.0,1.42,30.9,15.0,10.98,2.68,13.64,21.53,1.51,20.0,35.04
Jadavpur University,17.08,17.19,11.6,8.95,27.22,29.09,1.5,2.8,32.58,15.0,16.0,13.3,3.67,12.9,6.42,20.0,48.82
Anna University,18.02,24.03,13.38,10.86,20.63,24.18,3.0,2.25,19.67,15.0,12.89,11.05,0.77,26.66,3.44,20.0,65.95
Indian Institute of Technology Ropar,11.24,30.0,17.57,22.54,13.55,16.04,1.5,2.99,31.17,14.48,19.02,4.42,22.84,15.12,4.82,20.0,33.74
National Institute of Technology Rourkela,17.21,19.13,13.14,12.73,25.11,28.24,1.5,1.72,32.74,12.74,14.68,12.36,14.31,11.97,4.44,20.0,28.08
Indian Institute of Technology Patna,9.43,28.85,17.38,20.84,20.82,19.67,1.5,2.94,25.87,12.96,19.29,5.66,15.92,9.78,7.52,20.0,28.83
Indian Institute of Technology Gandhinagar,10.27,29.06,18.35,24.41,14.37,13.17,1.0,6.51,24.42,12.19,16.04,4.66,20.79,18.56,3.29,20.0,39.87
National Institute of Technology Warangal,16.0,22.6,15.0,14.28,18.38,18.79,0.0,2.42,33.38,15.0,17.1,8.98,16.03,15.44,4.04,20.0,40.72
Thapar Institute of Engineering and Technology,16.69,21.64,13.74,12.82,20.87,27.86,2.0,0.8,31.25,15.0,15.08,7.2,14.15,21.11,0.79,20.0,25.35
National Institute of Technology Calicut,16.0,23.61,14.92,13.47,15.39,15.21,3.0,1.02,36.08,15.0,16.4,10.47,14.33,21.86,7.32,20.0,37.53
Birla Institute of Technology & Science -Pilani,17.87,19.04,12.69,13.36,16.84,19.62,3.0,0.49,38.67,15.0,20.15,5.75,22.14,13.52,0.08,20.0,39.87
Indian Institute of Engineering Science and Technology,13.77,23.49,14.32,14.55,22.98,21.28,1.0,2.29,25.95,13.68,14.72,10.11,1.74,14.63,3.33,20.0,42.36
Indian Institute of Technology Bhubaneswar,9.13,28.01,18.12,19.83,16.11,17.06,1.0,3.65,30.14,15.0,18.56,2.74,22.2,11.55,1.87,20.0,29.93
National Institute of Technology Durgapur,12.86,24.93,16.79,14.65,19.73,19.08,2.0,1.83,31.74,15.0,14.96,6.67,14.11,13.31,9.01,20.0,26.15
Visvesvaraya National Institute of Technology,14.38,22.51,14.57,14.73,18.2,18.92,5.0,3.94,32.12,15.0,15.05,8.49,13.21,17.05,3.27,20.0,17.84
Amity University,14.77,27.32,14.98,11.38,24.66,21.06,11.0,0.53,23.12,15.0,10.18,4.08,14.22,22.32,0.39,20.0,9.87
Siksha `O` Anusandhan,17.32,29.92,14.37,14.15,11.95,16.48,5.0,0.85,36.19,15.0,10.24,8.73,14.27,30.0,0.87,20.0,12.15
Jamia Millia Islamia,10.5,25.24,14.36,10.17,23.24,23.29,1.0,2.46,36.15,15.0,15.44,6.37,17.12,9.25,8.34,20.0,13.24
S.R.M. Institute of Science and Technology,17.44,21.51,11.44,9.93,19.18,24.35,7.0,0.38,34.65,15.0,10.3,7.06,18.9,21.2,0.8,20.0,13.24
Aligarh Muslim University,12.0,30.0,16.22,13.58,22.5,23.75,3.0,0.85,26.0,13.26,12.29,5.11,5.99,10.51,3.88,20.0,20.65
Delhi Technological University,16.63,27.44,11.51,10.65,12.66,15.93,2.0,1.2,35.59,15.0,17.3,5.75,17.0,19.83,1.77,20.0,39.59
Malaviya National Institute of Technology,12.71,29.2,14.77,14.01,18.77,20.97,2.0,1.46,26.88,12.38,14.86,7.92,10.8,20.24,6.75,20.0,15.86
Shanmugha Arts Science Technology & Research Academy,16.07,28.65,16.0,10.75,15.61,18.94,1.5,1.56,34.37,15.0,11.89,6.3,10.35,25.88,0.83,20.0,12.7
Kalinga Institute of Industrial Technology,19.0,23.06,14.32,13.62,11.7,14.75,3.0,0.54,35.07,15.0,11.57,9.09,25.61,29.78,1.29,20.0,13.24
Indian Institute of Space Science and Technology,6.95,30.0,17.8,22.73,11.22,9.81,1.0,1.15,28.44,12.75,17.33,2.56,18.06,18.89,8.32,20.0,39.01
Indian Institute of Technology Mandi,9.64,21.33,14.31,20.67,15.76,16.64,0.0,3.0,30.36,14.25,19.41,5.02,21.1,16.59,3.97,20.0,21.98
Motilal Nehru National Institute of Technology,14.2,21.45,13.95,14.63,15.49,16.67,0.5,1.4,33.47,15.0,17.47,7.7,12.72,13.62,8.5,20.0,21.98
Indian Institute of Technology Jodhpur,10.32,27.02,17.1,21.95,12.07,12.88,0.0,3.12,26.1,13.7,18.41,4.38,19.34,19.57,4.43,20.0,13.78
National Institute of Technology Kurukshetra,13.34,21.09,12.05,15.72,19.66,19.53,0.5,0.96,29.5,13.81,15.23,3.47,14.14,16.45,3.07,20.0,19.73
Sri Sivasubramaniya Nadar College of Engineering,15.0,25.68,14.74,11.53,16.93,15.9,1.0,0.73,31.62,13.82,11.84,4.42,3.42,26.19,3.86,20.0,20.65
Birla Institute of Technology,10.17,28.74,17.07,12.23,17.75,14.97,0.0,1.48,23.75,13.53,15.98,4.98,10.63,18.87,0.91,20.0,26.54
National Institute of Technology Silchar,12.79,22.84,15.23,12.26,18.45,19.28,2.0,0.63,26.27,15.0,14.31,6.37,12.91,14.28,5.54,20.0,8.68
Dr. B. R. Ambedkar National Institute of Technology,13.82,28.26,14.73,11.17,11.94,14.29,1.0,0.49,27.17,15.0,14.14,4.47,13.49,21.67,7.96,20.0,18.32
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),16.75,30.0,16.93,7.4,18.41,18.66,1.0,0.31,18.66,15.0,10.39,4.57,9.92,24.88,0.25,20.0,4.23
Manipal Institute of Technology,15.5,29.87,14.82,9.96,13.26,13.92,1.5,0.32,18.25,15.0,14.1,2.8,19.16,21.43,1.44,20.0,21.98
"College of Engineering, Pune",11.5,27.23,13.12,12.99,9.23,7.35,4.0,1.81,36.19,15.0,15.65,0.99,4.2,24.2,5.77,20.0,29.57
PSG College of Technology,15.5,29.02,14.19,9.87,8.53,11.16,3.0,0.89,21.57,14.01,10.9,1.88,1.3,25.09,2.5,20.0,57.14
International Institute of Information Technology Hyderabad,8.38,16.98,11.81,13.58,16.63,15.27,0.0,1.18,31.32,12.5,25.0,2.26,18.39,12.64,0.41,20.0,26.15
Sathyabama Institute of Science and Technology,14.91,23.76,12.72,8.44,14.46,15.61,10.0,0.98,14.9,15.0,10.42,5.07,17.43,22.84,2.9,20.0,9.87
Kalasalingam Academy of Research and Education,12.16,26.65,15.63,9.81,9.53,12.63,1.0,1.26,31.43,14.35,10.41,4.23,11.7,28.52,5.01,20.0,13.78
Visvesvaraya Technological University,6.94,30.0,12.8,20.53,16.75,13.41,0.0,0.87,25.21,13.93,8.54,0.16,0.73,28.2,0.0,20.0,6.83
Defence Institute of Advanced Technology,4.31,29.44,17.13,16.15,15.3,13.72,1.0,3.71,18.68,12.17,18.34,2.97,9.01,16.7,0.0,20.0,2.87
National Institute of Technology Meghalaya,7.27,30.0,16.44,13.92,11.73,11.08,0.0,1.32,27.2,13.98,12.84,1.28,13.06,20.15,11.01,20.0,3.56
Maulana Azad National Institute of Technology,13.34,19.37,12.32,10.69,13.31,14.22,0.5,0.86,29.56,15.0,14.84,4.57,13.12,19.91,5.57,20.0,9.87
Chandigarh University,17.0,27.51,13.03,11.36,3.0,5.82,8.0,0.23,17.66,15.0,11.89,2.26,23.05,28.98,4.29,20.0,22.42
Jawaharlal Nehru Technological University,14.48,26.96,12.87,17.99,12.17,10.83,2.0,2.99,14.68,13.21,10.34,2.8,1.78,27.4,4.62,20.0,12.7
"Indraprastha Institute of Information Technology, Delhi",10.54,13.95,9.71,20.59,15.96,14.02,0.0,1.81,30.34,14.47,20.73,2.5,9.59,11.48,0.33,18.0,13.24
National Institute of Technology Raipur,13.68,22.1,13.76,11.03,13.49,14.29,0.5,0.7,24.4,15.0,15.34,4.52,11.42,18.33,8.56,20.0,2.87
M. S. Ramaiah Institute of Technology,12.33,29.77,14.82,9.34,7.07,0.31,1.0,0.46,31.09,15.0,12.35,1.62,8.34,23.55,1.82,20.0,14.31
Lovely Professional University,17.89,24.14,11.6,9.07,7.96,11.81,6.0,0.2,18.26,15.0,10.55,2.01,24.17,18.49,1.81,20.0,14.83
Banasthali Vidyapith,12.07,23.4,14.51,9.3,5.74,7.68,0.0,0.87,31.92,15.0,11.89,8.46,23.18,30.0,0.74,20.0,6.19
Pandit Deendayal Petroleum University,11.5,30.0,16.33,12.23,7.0,11.1,4.0,1.16,26.46,15.0,10.39,1.48,3.36,15.94,2.8,20.0,2.87
National Institute of Technology Srinagar,10.14,24.73,14.87,16.13,6.26,7.25,0.0,0.78,25.55,15.0,13.37,3.93,12.03,21.32,10.54,20.0,6.19
"Punjab Engineering College (Deemed to be University), Chandigarh",11.56,19.57,11.43,13.42,6.14,7.97,0.0,1.13,32.21,15.0,15.68,2.68,13.59,20.14,1.68,20.0,26.15
Thiagarajar College of Engineering,11.5,23.82,12.62,8.17,7.27,0.71,1.0,1.66,32.39,15.0,10.84,2.68,0.49,26.6,3.9,20.0,28.83
National Institute of Technology Patna,11.17,18.42,12.32,12.55,10.67,11.42,0.0,2.21,30.97,13.58,14.23,3.08,10.35,9.71,10.72,20.0,9.87
Indian Institute of Information Technology Guwahati,5.63,28.59,16.37,14.28,4.08,4.34,0.0,0.71,27.78,14.92,14.13,0.08,19.2,18.55,0.27,15.0,31.01
College of Engineering (A),11.0,23.33,15.04,15.07,4.37,3.76,0.0,1.65,37.1,15.0,11.07,6.06,1.3,28.37,4.25,20.0,4.23
Graphic Era University,10.89,27.32,13.96,12.6,4.52,6.23,2.5,0.4,23.43,14.39,10.39,0.85,16.36,23.55,0.54,20.0,24.53
International Institute of Information Technology Bangalore,5.97,23.15,14.08,15.7,6.15,3.58,0.5,0.65,24.44,15.0,23.8,0.4,21.32,19.61,0.0,20.0,18.8
R.V. College of Engineering,14.0,26.98,14.13,8.76,8.32,5.63,0.0,0.5,25.68,14.78,16.14,0.4,6.57,23.18,0.56,20.0,15.86
Sri Krishna College of Engineering and Technology,12.0,27.62,11.78,10.83,2.8,4.14,3.0,0.92,36.04,15.0,11.82,0.4,1.1,25.81,2.8,20.0,17.35
Shri Mata Vaishno Devi University,7.28,30.0,17.82,13.97,8.22,11.3,0.0,1.03,21.42,13.48,10.02,2.91,6.81,16.02,2.66,20.0,2.17
"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM) Jabalpur",8.35,14.79,10.03,13.01,14.07,14.12,0.0,1.42,26.4,15.0,16.43,3.93,18.84,7.73,7.49,20.0,6.83
Indian Institute of Food Processing Technology (IIFPT),5.02,30.0,17.64,19.18,1.35,3.07,0.0,3.56,28.5,14.86,0.31,0.47,7.65,27.78,2.13,20.0,9.87
"Veermata Jijabai Technological Institute,  (VJTI, Mumbai)",12.5,23.84,12.39,11.61,4.64,4.75,0.0,2.23,33.29,15.0,15.79,1.94,3.77,23.92,5.91,20.0,9.28
PES University,13.96,25.74,11.79,10.8,6.38,5.08,1.5,0.4,31.06,15.0,14.31,0.16,4.51,23.43,1.42,20.0,13.24
Manipal University Jaipur,12.18,28.08,15.59,9.49,7.51,9.0,0.0,0.14,24.4,15.0,11.23,0.16,18.79,19.78,0.15,20.0,0.0
National Institute of Technology Goa,5.88,23.37,13.31,14.13,10.49,9.51,0.0,1.42,25.64,12.69,14.13,1.06,15.64,19.32,2.11,20.0,7.45
"National Institute of Technology, Jamshedpur",11.49,18.67,12.8,13.49,6.06,8.43,0.0,1.13,35.12,15.0,14.56,2.97,12.61,9.91,3.21,20.0,8.07
Indian Institute of Information Technology Allahabad,9.04,14.39,9.8,13.33,7.69,7.33,0.0,0.67,31.74,15.0,22.18,3.36,17.74,10.09,3.91,20.0,19.73
Netaji Subhas University of Technology (NSUT),13.48,16.44,8.02,9.2,9.98,12.2,0.0,0.07,28.29,15.0,19.29,3.25,5.25,18.76,0.22,20.0,18.32
Panjab University,10.72,14.38,9.01,5.61,17.07,20.86,3.0,1.68,19.58,11.75,13.49,3.57,13.55,20.97,0.6,8.0,14.83
Kumaraguru College of Technology,13.26,27.14,13.51,7.85,6.77,5.93,2.5,0.56,28.09,13.64,10.59,0.16,0.93,24.15,0.64,20.0,15.86
University of Petroleum and Energy Studies,11.98,21.42,11.59,12.93,7.92,9.12,3.0,0.25,24.59,14.91,11.35,0.16,19.8,17.24,0.01,20.0,4.9
National Institute of Technology Agartala,10.39,21.77,12.96,11.84,9.94,11.66,0.0,0.22,19.31,12.93,13.83,2.8,11.34,18.32,8.04,20.0,6.83
Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,12.02,25.25,12.19,6.35,11.61,13.25,3.5,0.13,18.53,9.07,10.78,0.16,19.38,18.7,5.53,20.0,4.9
Jaypee Institute of Information Technology,12.64,19.81,11.93,8.69,10.56,11.35,1.0,0.2,29.11,13.82,11.54,2.32,8.67,20.63,0.0,20.0,6.83
College of Engineering Trivandrum,11.5,30.0,12.57,9.78,5.09,4.3,0.0,0.86,24.91,15.0,11.94,1.55,0.58,25.73,3.85,20.0,14.83
Bharati Vidyapeeth Deemed University College of Engineering,12.11,28.78,12.5,6.95,0.79,1.07,1.0,0.16,35.61,15.0,9.8,2.32,21.77,25.45,4.36,20.0,6.83
The Northcap University,7.28,26.63,15.08,11.37,5.4,7.24,0.0,0.08,30.84,15.0,10.75,0.24,9.25,20.89,1.18,20.0,8.07
B.M.S. College of Engineering,13.7,23.1,12.48,10.34,4.67,5.02,2.0,0.64,23.18,14.71,15.22,0.99,6.72,23.57,1.65,20.0,15.35
